员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
1088,陈亮,女,15211070798,fang72@example.com,在职,测试工程师,技术部,2020-02-19,,
1089,陈斌,男,13659157994,duguiying@example.net,在职,HR专员,人事部,2017-06-26,,
1090,魏宇,女,15364951216,chaowei@example.com,在职,HR专员,人事部,2018-07-08,,项目上海两个记者.
1091,王淑兰,男,14754476526,mingliu@example.org,在职,出纳,财务部,2015-11-09,,
1092,韩建国,男,13582322343,ozhou@example.org,在职,人事经理,人事部,2020-07-12,,
1093,陈春梅,男,18912221949,min00@example.org,在职,HR专员,人事部,2013-08-23,,
1094,鞠宁,女,15597018957,mfeng@example.com,离职,市场专员,市场部,2013-12-26,2020-09-01,地方环境世界图片.
1095,李建平,男,15073308249,jingzou@example.net,离职,架构师,技术部,2018-01-02,2019-08-23,
1096,毛桂芝,男,13532040403,xiazhou@example.com,在职,出纳,财务部,2020-07-12,,
1097,张桂兰,女,18730692717,gongmin@example.org,在职,销售代表,销售部,2014-04-26,,
1098,陈勇,男,13259379700,chan@example.net,在职,人事经理,人事部,2020-06-10,,参加目前结果个人国内系统只有.
1099,张凯,男,15391403833,jmao@example.org,在职,市场专员,市场部,2020-01-02,,
1100,王婷,男,15259762741,li45@example.com,在职,出纳,财务部,2020-11-08,,
1101,汪博,女,15396025404,jdong@example.net,在职,前端工程师,技术部,2020-12-09,,如何表示国际她的朋友方面进入或者.
1102,王畅,女,18734461709,ming46@example.org,在职,财务主管,财务部,2017-02-07,,结果然后自己.
1103,魏莹,女,18617196984,taozhao@example.org,在职,后端工程师,技术部,2018-02-14,,
1104,杨宇,女,18837862133,hanyang@example.org,在职,人事经理,人事部,2016-07-20,,
1105,黄玉珍,女,14513788943,ogao@example.com,在职,市场专员,市场部,2019-10-18,,
1106,潘秀梅,女,15997503888,na02@example.org,在职,市场经理,市场部,2016-10-07,,
1107,刘瑜,女,13640305913,rren@example.net,在职,会计,财务部,2019-09-07,,
1108,杨淑英,男,13148313414,speng@example.net,在职,人事经理,人事部,2013-08-21,,经济企业简介环境不能如何那些.
1109,潘丹丹,男,18075886609,qiang26@example.net,离职,出纳,财务部,2013-11-13,2017-06-13,得到或者开发然后起来状态国际.
1110,李红,女,15124773131,fang67@example.org,在职,会计,财务部,2018-12-04,,
1111,朱洁,女,13250847886,sunyang@example.org,离职,前端工程师,技术部,2018-05-09,2020-11-18,大学目前之间男人感觉关于.
1112,邵红,男,13020469429,xiuyingwei@example.com,在职,架构师,技术部,2016-11-14,,服务其他帮助位置人民方面.
1113,陈林,男,18899604579,guiying55@example.com,离职,市场经理,市场部,2019-01-01,2020-09-12,加入大家我的联系工作标题.
1114,高坤,男,13725240509,gaogang@example.net,在职,市场专员,市场部,2016-03-22,,
1115,索杨,男,15960898297,pingjin@example.com,在职,出纳,财务部,2016-09-17,,
1116,饶文,女,14551263511,minggong@example.net,离职,市场专员,市场部,2013-07-01,2015-12-22,工具网上销售实现.
1117,周涛,男,18022834421,smao@example.org,在职,测试工程师,技术部,2017-03-02,,文件以及如果可以电子文章.
1118,马秀珍,女,15820920354,qiang30@example.com,在职,人事经理,人事部,2015-03-30,,
1119,姚建平,女,18607558107,jing94@example.net,在职,市场经理,市场部,2018-04-21,,
1120,罗艳,男,14736559029,ywei@example.com,在职,销售经理,销售部,2019-07-17,,
1121,胡瑜,男,15968311255,yhan@example.net,离职,销售代表,销售部,2020-04-20,2020-07-20,
1122,赵秀荣,男,13239888151,qiang49@example.net,在职,HR专员,人事部,2016-06-01,,
1123,杨洁,男,13404067054,qzhu@example.net,离职,销售经理,销售部,2017-06-22,2019-11-01,
1124,郭俊,女,15185669668,hangang@example.net,离职,市场专员,市场部,2018-02-24,2020-04-07,论坛文化信息查看注册本站.
1125,刘玉英,女,15214049714,qiangluo@example.org,在职,人事经理,人事部,2018-12-20,,
1126,张秀兰,男,15685512395,guiyingding@example.org,在职,销售经理,销售部,2017-10-30,,
1127,黄玉华,男,14550090780,guiyingkong@example.com,在职,人事经理,人事部,2020-02-04,,
1128,程玉兰,女,14511011624,hlong@example.org,在职,财务主管,财务部,2016-05-10,,
1129,刘玉英,女,15285667458,jun92@example.net,离职,销售代表,销售部,2020-10-19,2020-12-16,
1130,王洁,女,13665306559,nafan@example.com,在职,市场经理,市场部,2013-10-05,,
1131,王桂荣,男,14576810727,pengna@example.net,在职,销售经理,销售部,2015-03-24,,
1132,芦宇,男,15134083096,jkang@example.org,在职,市场经理,市场部,2016-11-12,,不同知道非常但是之后文章之后.
1133,黄云,女,14790557514,zzhao@example.org,在职,会计,财务部,2017-12-28,,
1134,高强,男,13823170289,rhou@example.org,离职,财务主管,财务部,2019-05-06,2019-05-28,
1135,张桂花,女,15374051383,yang81@example.org,在职,架构师,技术部,2018-12-13,,基本世界今年是一最新文化能够作为.
1136,徐利,女,13799630776,yixiulan@example.org,离职,架构师,技术部,2018-11-04,2020-09-02,
1137,张柳,女,18924537248,yan47@example.org,在职,市场专员,市场部,2014-03-16,,
1138,赵建华,男,18641371920,xiuying95@example.com,在职,测试工程师,技术部,2015-03-28,,
1139,李桂芳,女,14747763492,otao@example.org,在职,销售经理,销售部,2020-12-14,,
1140,萧丹,男,14570303625,yang43@example.com,在职,市场专员,市场部,2016-03-08,,
1141,孙旭,男,13987704944,yinli@example.org,离职,销售代表,销售部,2019-06-25,2020-04-14,业务不要看到评论非常所以以上.
1142,杨阳,男,18656304643,yinguiying@example.org,在职,销售经理,销售部,2016-10-05,,就是作为也是觉得分析项目.
1143,齐楠,女,15877667255,zdu@example.org,在职,市场专员,市场部,2019-04-20,,
1144,王华,女,15559485902,zhouxiulan@example.net,在职,架构师,技术部,2020-10-10,,作品使用管理.
1145,谢秀珍,男,15313904222,tao38@example.net,在职,会计,财务部,2019-08-17,,
1146,何丽娟,男,13570776580,lulei@example.org,在职,市场经理,市场部,2020-10-27,,
1147,马颖,女,15696166235,min32@example.net,在职,前端工程师,技术部,2017-02-24,,
1148,王秀华,男,13559157082,esong@example.org,在职,前端工程师,技术部,2016-01-16,,
1149,邓磊,女,18030584252,rtang@example.com,在职,架构师,技术部,2015-02-14,,组织全国地区.
1150,孙金凤,男,15078707058,jie96@example.net,在职,HR专员,人事部,2015-02-14,,
1151,吴莉,女,13966470956,jiezeng@example.org,在职,HR专员,人事部,2015-05-31,,孩子支持之间责任时间空间手机.
1152,喻红梅,女,13350813749,yfan@example.net,在职,出纳,财务部,2018-04-04,,帮助地区北京一起生活空间规定.
1153,陈建平,男,18519574202,rding@example.org,在职,后端工程师,技术部,2013-07-03,,文化问题是否男人进行一点.
1154,魏慧,女,13334934282,liaojing@example.com,在职,销售经理,销售部,2016-09-19,,能够学校电影搜索行业.
1155,钟玉华,男,18201170609,yong25@example.org,在职,前端工程师,技术部,2017-03-13,,
1156,郝桂珍,女,18931721304,jingzhang@example.net,离职,销售经理,销售部,2018-07-14,2019-08-03,
1157,阎勇,女,15254604448,renyang@example.com,在职,HR专员,人事部,2017-11-29,,
1158,李兰英,女,13862710105,zlei@example.org,在职,HR专员,人事部,2014-04-09,,
1159,宋冬梅,女,13795070728,minli@example.com,在职,市场经理,市场部,2015-05-16,,管理一样虽然游戏单位文章需要.
1160,翟斌,女,18240891812,fengqiang@example.org,在职,会计,财务部,2019-07-23,,各种准备以后生活其中专业已经.
1161,覃阳,女,13539216412,yanshen@example.com,在职,市场专员,市场部,2020-12-20,,
1162,朱玉,女,13038848431,zcai@example.net,在职,市场经理,市场部,2016-10-01,,这是教育当前政府成为更多.
1163,李春梅,男,14772763509,lei11@example.org,在职,HR专员,人事部,2016-05-10,,
1164,余建军,男,13065600052,fguo@example.net,在职,销售经理,销售部,2017-09-04,,
1165,伍淑兰,女,13801912454,qliang@example.net,在职,市场专员,市场部,2016-05-30,,开始我们相关广告.
1166,郑莉,男,18939421468,bxiong@example.org,在职,销售经理,销售部,2017-08-14,,
1167,朱淑英,男,15117082827,mjin@example.net,在职,市场专员,市场部,2019-09-27,,知道过程发现事情威望关于历史.
1168,杨桂芝,女,13332958760,jieyan@example.org,在职,销售代表,销售部,2017-01-15,,
1169,郭俊,男,13183424261,nhu@example.net,在职,会计,财务部,2015-09-07,,
1170,陈秀珍,女,13783017246,dumin@example.net,在职,销售代表,销售部,2014-07-31,,服务还有这个工作提高程序.
1171,刘莹,男,15974226876,jing84@example.com,在职,前端工程师,技术部,2013-11-17,,部门情况时间您的使用一个.
1172,谢秀兰,女,14753528996,yaoxiulan@example.com,在职,后端工程师,技术部,2018-10-11,,
1173,周辉,男,13150817419,vyuan@example.com,在职,HR专员,人事部,2019-04-09,,
1174,张淑珍,女,15169313778,ychen@example.com,在职,财务主管,财务部,2014-04-25,,
1175,郑凤英,男,15646187467,naxia@example.com,在职,架构师,技术部,2015-03-16,,
1176,纪杨,女,18984805024,gongyong@example.org,离职,人事经理,人事部,2014-11-01,2016-07-02,
1177,孙淑珍,男,18590469969,izhu@example.net,在职,销售代表,销售部,2018-02-25,,时候得到为了法律事情.
1178,章伟,男,14598542150,jun96@example.net,在职,销售代表,销售部,2020-12-14,,环境学生拥有都是管理发现.
1179,张桂荣,女,14525465786,guiyingshao@example.com,离职,销售代表,销售部,2015-11-02,2017-06-18,
1180,杨玉英,男,13672609133,shaoyang@example.com,在职,市场专员,市场部,2017-03-19,,
1181,欧阳淑珍,女,18712459550,guiying36@example.net,在职,财务主管,财务部,2017-12-07,,
1182,杨佳,男,15366595786,yangpan@example.org,在职,销售经理,销售部,2020-03-22,,
1183,张玉英,女,15886696105,chao88@example.com,在职,销售经理,销售部,2018-02-23,,不过单位经营客户操作.
1184,赵成,女,14506363395,caogang@example.net,离职,市场专员,市场部,2014-03-01,2014-09-22,
1185,周桂花,女,13654842998,yong94@example.org,离职,出纳,财务部,2019-01-03,2019-10-06,
1186,江博,男,18214492229,wei09@example.net,在职,测试工程师,技术部,2013-11-12,,
1187,韩楠,女,18696730491,xiuyingduan@example.net,在职,销售经理,销售部,2015-05-03,,
1188,王莉,女,14513974885,gdu@example.net,在职,市场专员,市场部,2019-02-13,,
1189,瞿雪,女,13802580346,qiangduan@example.com,在职,销售经理,销售部,2019-05-10,,
1190,赵秀荣,男,13054645801,songguiying@example.net,离职,测试工程师,技术部,2020-10-27,2020-11-28,
1191,梁超,男,13908955716,xiaoyan@example.com,离职,会计,财务部,2017-11-06,2018-02-18,个人表示其中客户回复部门时间.
1192,许凤兰,女,18231198250,xufang@example.org,在职,市场经理,市场部,2014-12-21,,完全必须为了网上品牌那些状态.
1193,黄玉梅,女,15560048634,yuanmin@example.com,在职,人事经理,人事部,2019-09-19,,
1194,郑静,女,18529617489,jiawei@example.org,离职,HR专员,人事部,2017-04-06,2019-06-29,
1195,韩霞,男,18142472275,xia25@example.com,在职,前端工程师,技术部,2019-03-30,,
1196,丁亮,女,15671811496,ohan@example.com,在职,前端工程师,技术部,2016-04-05,,
1197,袁想,男,15984739336,hfan@example.com,在职,HR专员,人事部,2017-10-17,,的是学习程序你们.
1198,叶玉华,女,18971021722,jingfang@example.com,在职,人事经理,人事部,2016-11-05,,
1199,李杰,男,13968242767,chaofan@example.org,在职,市场专员,市场部,2017-12-13,,
1200,王霞,男,13613418865,li70@example.org,在职,会计,财务部,2019-09-10,,
1201,何畅,男,15186285127,humin@example.com,在职,销售代表,销售部,2019-07-31,,
1202,罗建军,女,18994914943,wei87@example.org,在职,架构师,技术部,2016-02-17,,
1203,方燕,女,15024250983,aqiao@example.net,离职,财务主管,财务部,2013-06-16,2013-12-04,
1204,刘瑞,男,18720441817,jye@example.org,在职,架构师,技术部,2020-01-16,,对于文化作品发生一般北京喜欢.
1205,李艳,女,14583873812,qliao@example.net,离职,后端工程师,技术部,2015-05-23,2019-02-08,
1206,熊畅,男,13513840783,fangxue@example.net,在职,市场专员,市场部,2020-09-25,,
1207,夏建华,男,18633952303,xiechao@example.net,在职,前端工程师,技术部,2019-11-04,,如何成为新闻.
1208,吕淑兰,女,15566748939,jingzheng@example.net,在职,市场经理,市场部,2019-06-27,,
1209,周磊,女,15859285689,xiuying08@example.org,离职,会计,财务部,2014-10-06,2014-10-21,
1210,谭浩,女,15680206830,xiuyingfan@example.org,在职,市场专员,市场部,2016-12-05,,
1211,程秀英,男,13738811132,juandeng@example.com,在职,后端工程师,技术部,2014-12-17,,
1212,邓秀荣,男,13852797585,yang54@example.org,在职,市场专员,市场部,2018-01-23,,是否组织经济其他无法.
1213,周想,男,18706187869,lei51@example.com,在职,市场专员,市场部,2018-01-06,,
1214,郭强,男,13392999509,jiangyong@example.com,离职,HR专员,人事部,2018-12-28,2019-05-05,
1215,臧鑫,男,15906700190,xiali@example.net,在职,会计,财务部,2020-09-09,,
1216,唐佳,男,14714192745,chao83@example.com,在职,销售经理,销售部,2015-02-13,,
1217,刘丽,男,15609437565,sliu@example.net,在职,HR专员,人事部,2017-03-24,,不要成功功能.
1218,连玉,女,18111196342,dumin@example.org,在职,架构师,技术部,2020-10-10,,
1219,王淑珍,男,15059384714,leidai@example.net,在职,HR专员,人事部,2014-07-26,,
1220,乐桂芝,女,13049351417,jlei@example.net,离职,市场专员,市场部,2020-04-28,2020-06-22,
1221,丁桂花,女,13429748315,leifang@example.com,离职,市场经理,市场部,2016-07-16,2020-03-08,
1222,张浩,女,15641574498,fangkang@example.com,在职,人事经理,人事部,2016-10-24,,
1223,曾霞,女,13058726222,bxiong@example.net,在职,会计,财务部,2020-03-20,,
1224,张建军,男,18933704647,xiabai@example.org,在职,市场专员,市场部,2016-07-04,,
1225,夏丹丹,女,14585096908,zouping@example.com,在职,财务主管,财务部,2020-12-09,,为了最新一点一起经验各种处理.
1226,李娜,男,18569274377,gangwu@example.org,在职,会计,财务部,2013-12-10,,
1227,翟秀芳,男,18869850175,nalu@example.net,在职,人事经理,人事部,2018-10-31,,
1228,陈鹏,女,13362588654,jyin@example.com,离职,销售经理,销售部,2017-08-17,2018-06-13,表示积分的人已经资源得到网络学生.
1229,关萍,女,15698321553,jun41@example.org,离职,后端工程师,技术部,2019-01-18,2020-11-18,责任查看学校教育女人历史.
1230,梁淑英,男,15043546622,houxiulan@example.com,离职,财务主管,财务部,2020-06-07,2020-08-07,
1231,赵建平,女,15702523083,duanjun@example.net,在职,人事经理,人事部,2014-07-10,,之后电影根据一个.
1232,施峰,男,13323171169,jli@example.com,在职,财务主管,财务部,2020-08-29,,
1233,姜杨,女,15246257042,min57@example.net,在职,销售经理,销售部,2018-12-03,,觉得一次日期但是我的帮助没有操作.
1234,李玉,男,15950234492,lixia@example.org,离职,销售经理,销售部,2016-01-27,2017-02-26,女人如果资料这么教育.
1235,宋淑兰,女,15376520983,rduan@example.net,离职,销售代表,销售部,2018-05-15,2019-08-19,
1236,沈佳,男,15817040668,xiulanhou@example.net,在职,市场经理,市场部,2020-03-01,,
1237,彭旭,男,13125180801,yigang@example.org,离职,出纳,财务部,2014-09-17,2019-07-23,能够一下公司以上全国.
1238,詹淑华,男,18734818441,thao@example.com,在职,测试工程师,技术部,2019-07-09,,发展不要业务的话.
1239,王坤,女,15921748809,jshao@example.com,在职,人事经理,人事部,2014-03-17,,
1240,刘秀兰,女,15547017768,idu@example.com,在职,市场经理,市场部,2018-08-09,,
1241,高鑫,女,15913041557,qxie@example.net,在职,市场经理,市场部,2018-07-14,,
1242,冼莉,女,18654484446,xiuyinglu@example.com,离职,财务主管,财务部,2013-12-10,2017-09-24,
1243,杨海燕,男,18874453865,ijin@example.net,在职,架构师,技术部,2018-01-10,,
1244,王凤英,男,15259306042,guiying15@example.com,在职,前端工程师,技术部,2019-05-18,,
1245,李杨,女,18041238478,ming71@example.org,在职,市场专员,市场部,2019-08-13,,
1246,郑志强,男,18838630573,weifeng@example.com,在职,销售经理,销售部,2016-12-18,,精华一种成功不过.
1247,卜旭,女,18205656485,ming96@example.com,在职,前端工程师,技术部,2016-09-13,,虽然本站查看是一国家深圳商品.
1248,关瑜,男,13881636717,jing46@example.net,在职,市场专员,市场部,2019-06-19,,
1249,周静,女,14544852312,dhou@example.net,在职,市场经理,市场部,2016-01-25,,
1250,焦宇,女,13338466651,xiulanfan@example.net,离职,架构师,技术部,2019-05-07,2020-07-17,
1251,刘瑜,女,18860738733,ping50@example.net,在职,HR专员,人事部,2019-04-11,,不过推荐类型工作比较新闻.
1252,廖琳,女,13313683434,wangyang@example.org,在职,销售经理,销售部,2013-09-05,,合作非常以下时候文件能够他们处理.
1253,谢玉梅,女,18850214649,rfu@example.com,在职,HR专员,人事部,2018-06-13,,
1254,王晨,男,13603220087,uqiu@example.net,在职,后端工程师,技术部,2017-02-09,,知道不要合作为什.
1255,张鹏,女,15370100767,chaosu@example.org,在职,销售经理,销售部,2020-06-04,,
1256,黄梅,男,18583034556,ayu@example.com,在职,架构师,技术部,2018-10-29,,
1257,李颖,男,18179486169,fhe@example.com,在职,财务主管,财务部,2016-12-17,,所有谢谢应用感觉日本组织.
1258,张辉,女,18521677066,juan58@example.org,在职,后端工程师,技术部,2017-03-08,,
1259,姜冬梅,女,13229914892,zengxiulan@example.com,在职,会计,财务部,2019-06-26,,
1260,陈红梅,男,13600010502,cuiyan@example.org,在职,HR专员,人事部,2016-10-03,,会员之间社会只要对于之后学生.
1261,王敏,女,13278269770,yangjie@example.org,在职,人事经理,人事部,2020-06-18,,
1262,林倩,女,18718239594,wei77@example.org,在职,前端工程师,技术部,2016-07-18,,他的学生地区出现研究.
1263,黄涛,女,15205178256,jsun@example.net,离职,人事经理,人事部,2017-06-05,2019-04-22,人员这种他的公司具有位置什么我的.
1264,孟婷婷,男,15896229619,wangtao@example.org,在职,测试工程师,技术部,2020-03-09,,
1265,沈凤英,男,15302036177,xuechao@example.com,在职,测试工程师,技术部,2020-07-27,,
1266,王建国,女,13588820083,jliang@example.com,离职,架构师,技术部,2020-06-20,2020-07-31,
1267,邹文,男,18188045669,wenmin@example.net,在职,出纳,财务部,2018-12-09,,实现业务下载.
1268,刘婷婷,男,13582953766,zyao@example.com,离职,人事经理,人事部,2019-06-28,2020-02-03,
1269,王峰,女,18094686261,duanmin@example.org,在职,财务主管,财务部,2017-07-14,,部分国际价格电脑信息深圳.
1270,时楠,男,15595656317,vxia@example.com,在职,市场专员,市场部,2018-09-25,,
1271,邓秀英,男,14569356430,yongdai@example.net,在职,测试工程师,技术部,2015-07-29,,
1272,李阳,男,14723173184,guiyingmao@example.org,离职,前端工程师,技术部,2013-07-08,2017-02-07,
1273,李洁,男,13657549403,xiuying12@example.net,在职,HR专员,人事部,2015-07-07,,
1274,李丽娟,男,13574823647,zhengjuan@example.net,在职,销售经理,销售部,2020-05-14,,
1275,褚丹丹,男,18080859492,wangxiulan@example.net,在职,测试工程师,技术部,2014-09-07,,
1276,唐东,女,18968273492,jinggao@example.com,在职,市场经理,市场部,2015-09-03,,公司中心特别应该企业一种注册.
1277,顾宇,女,14586572738,mingzeng@example.org,在职,后端工程师,技术部,2017-09-06,,
1278,杨强,女,18015352522,dren@example.org,在职,前端工程师,技术部,2013-08-05,,
1279,李淑华,男,13903946634,fangzeng@example.com,在职,市场专员,市场部,2019-02-04,,
1280,张丽,男,15710923764,cqian@example.org,离职,前端工程师,技术部,2015-02-08,2018-04-01,登录更新认为首页.
1281,方俊,女,15823325806,wkong@example.org,在职,架构师,技术部,2019-09-20,,
1282,唐冬梅,男,15391200454,guiying82@example.org,在职,后端工程师,技术部,2016-02-12,,
1283,王玉珍,男,13850108710,chengyong@example.com,在职,测试工程师,技术部,2018-07-14,,
1284,卢杨,男,18683951781,taojin@example.net,离职,会计,财务部,2020-05-09,2020-07-04,
1285,苏宁,女,14559076433,chao48@example.com,在职,市场经理,市场部,2014-02-01,,如何原因当然国际提供方面准备.
1286,魏辉,女,15905703979,yong12@example.net,在职,会计,财务部,2020-07-13,,
1287,卢宇,女,18619698095,sqiu@example.com,在职,HR专员,人事部,2016-04-15,,记者系列详细地址首页知道.
1288,陈丽丽,男,14505213281,szhu@example.com,在职,市场经理,市场部,2014-10-16,,
1289,刘鑫,男,18845501057,ming00@example.net,在职,出纳,财务部,2015-09-22,,系统品牌开发.
1290,王淑英,男,13207540061,ping02@example.com,在职,销售经理,销售部,2014-04-23,,
1291,蓝玉华,女,15551417079,naye@example.org,在职,市场经理,市场部,2014-11-03,,
1292,谢浩,男,13989571847,guiyingjin@example.com,离职,销售代表,销售部,2017-06-03,2020-05-31,
1293,霍畅,男,13214667193,gongming@example.com,在职,销售代表,销售部,2017-11-10,,
1294,张桂芝,女,13469887997,sutao@example.com,在职,架构师,技术部,2020-12-20,,
1295,孔俊,男,15885269578,yankang@example.net,在职,前端工程师,技术部,2018-01-16,,
1296,孙欢,男,13663258274,juan70@example.com,在职,会计,财务部,2018-01-26,,
1297,宋波,女,15743369688,xiulansu@example.com,在职,会计,财务部,2020-03-14,,
1298,杨梅,女,15106318175,gding@example.org,在职,市场专员,市场部,2020-08-31,,不过谢谢解决一点.
1299,王琴,男,18155272998,heyan@example.com,在职,HR专员,人事部,2018-09-02,,
1300,李雷,女,18722039550,xiali@example.net,在职,会计,财务部,2013-12-08,,
1301,郭婷婷,女,13963440216,lei62@example.net,在职,市场经理,市场部,2019-06-09,,
1302,龚玉英,女,13925713459,tao03@example.com,离职,财务主管,财务部,2019-05-19,2020-01-23,
1303,李荣,男,18915562388,jiangjun@example.org,在职,市场专员,市场部,2019-12-17,,
1304,丁军,男,14730762449,llin@example.org,在职,销售经理,销售部,2014-06-03,,
1305,魏红霞,女,15138862856,fang33@example.org,离职,测试工程师,技术部,2017-06-11,2020-02-20,
1306,李红,男,18923221859,fanming@example.org,在职,市场经理,市场部,2014-07-04,,汽车积分那个用户.
1307,常志强,男,13955176140,wenping@example.net,在职,HR专员,人事部,2015-07-29,,
1308,王磊,女,15031935512,yding@example.org,在职,市场经理,市场部,2018-03-17,,今天认为如果服务全部网上地方同时.
1309,刘瑜,女,13242694241,gaoyong@example.com,在职,财务主管,财务部,2020-09-14,,
1310,钱秀珍,男,15370745341,cuiguiying@example.com,离职,市场经理,市场部,2019-07-20,2020-10-07,
1311,马秀云,女,13315781586,xxie@example.com,在职,市场经理,市场部,2018-12-13,,结果电话发布.
1312,张波,女,13429766644,xiulansun@example.com,离职,市场经理,市场部,2014-09-09,2019-05-09,
1313,程洁,女,18543673166,caiqiang@example.com,离职,出纳,财务部,2017-04-14,2017-10-22,
1314,翟冬梅,女,15704012749,juan89@example.org,在职,市场经理,市场部,2018-10-28,,
1315,叶刚,男,14537913416,fang51@example.org,在职,市场经理,市场部,2014-06-17,,可是部门研究推荐解决两个专业对于.
1316,曾强,男,15598264206,min02@example.org,在职,会计,财务部,2019-04-28,,这个他们这里用户只是相关进入.
1317,叶伟,男,15140206051,yongtian@example.net,在职,市场经理,市场部,2019-12-08,,
1318,杨鹏,女,18861340837,fuwei@example.com,在职,销售代表,销售部,2015-12-21,,
1319,丁帆,男,13021444224,ugong@example.org,在职,销售经理,销售部,2014-02-14,,
1320,花玲,女,18613737946,klei@example.org,在职,市场专员,市场部,2014-07-03,,
1321,陈红,女,18727986107,juanhan@example.org,在职,销售代表,销售部,2020-06-28,,虽然点击游戏发表方式音乐.
1322,周娟,男,18024398818,chaohu@example.org,在职,销售经理,销售部,2017-06-20,,
1323,江小红,女,18531187922,zhengxiulan@example.net,在职,架构师,技术部,2017-08-19,,方面内容图片还是一下.
1324,周丽娟,男,18019119351,xiulanliu@example.org,在职,HR专员,人事部,2013-07-16,,
1325,徐洋,女,18810363028,dongmin@example.com,在职,市场经理,市场部,2018-03-07,,
1326,陈桂芝,男,18966305667,hwu@example.com,在职,市场专员,市场部,2015-10-17,,
1327,谢桂芳,男,18916033139,songxiuying@example.com,离职,市场经理,市场部,2020-09-14,2020-09-25,
1328,刘秀珍,男,13937011857,guiyingzou@example.net,在职,市场专员,市场部,2015-05-23,,
1329,汪柳,女,18031962928,chenli@example.net,在职,前端工程师,技术部,2017-12-29,,
1330,陈慧,女,13778114484,jing47@example.org,在职,出纳,财务部,2020-12-30,,为了主题回复基本世界.
1331,张斌,女,15699906565,xiajiang@example.com,在职,架构师,技术部,2014-01-01,,
1332,马玲,男,13235982099,dwu@example.com,在职,人事经理,人事部,2015-05-30,,
1333,李欣,男,14507121196,uhe@example.net,在职,销售代表,销售部,2018-10-11,,中文公司专业自己为了实现无法.
1334,杨浩,男,15074202205,xia56@example.com,在职,财务主管,财务部,2018-06-28,,今天建设根据您的.
1335,陈娟,男,14509359555,yongwei@example.org,离职,出纳,财务部,2014-01-30,2015-02-26,
1336,钟亮,女,15517098748,jzhong@example.org,离职,市场专员,市场部,2014-03-01,2018-09-07,结果进行一定一种一直学习价格.
1337,李岩,女,13362929764,xiuying52@example.org,离职,出纳,财务部,2013-12-17,2018-11-22,
1338,余秀珍,男,13738107605,maojuan@example.org,在职,财务主管,财务部,2015-05-27,,欢迎市场欢迎解决责任不会地区.
1339,徐明,女,18768272166,fwen@example.org,离职,HR专员,人事部,2020-12-20,2020-12-29,
1340,孙玉,男,15186343996,csong@example.org,在职,会计,财务部,2017-11-04,,
1341,岳畅,女,13371103609,chaoyi@example.net,离职,市场经理,市场部,2017-05-12,2019-04-25,
1342,刘兰英,女,15836555488,hanli@example.com,在职,出纳,财务部,2019-04-20,,
1343,何丽,女,18583206339,qiaoyong@example.com,在职,市场经理,市场部,2017-11-21,,
1344,刘琳,男,15164546576,fangwang@example.org,离职,财务主管,财务部,2016-08-05,2016-10-21,
1345,张秀华,女,15329865123,xiaxiulan@example.net,在职,出纳,财务部,2020-11-17,,城市工作组织加入.
1346,陈杰,男,15103372958,guiying11@example.org,在职,销售经理,销售部,2018-06-08,,
1347,施兵,男,13543464685,tao06@example.org,在职,销售经理,销售部,2019-05-22,,一切直接主要进行这里一切信息系列.
1348,陈强,男,13097335597,guoxiuying@example.com,在职,财务主管,财务部,2017-03-07,,
1349,白华,女,13125143017,huangguiying@example.org,在职,会计,财务部,2016-05-31,,注意朋友位置深圳.
1350,陈建华,男,15883675971,ukang@example.org,离职,财务主管,财务部,2013-09-10,2018-01-29,
1351,程杰,男,18963486118,mjiang@example.org,在职,销售经理,销售部,2014-04-17,,
1352,沈晶,女,18983336661,jing02@example.org,在职,会计,财务部,2017-09-21,,
1353,陈伟,男,14780084399,jieding@example.com,在职,销售代表,销售部,2018-06-20,,
1354,李桂兰,男,18083738115,jie06@example.org,在职,后端工程师,技术部,2018-09-14,,建设免费介绍空间游戏.
1355,杨林,女,13332041267,helei@example.net,在职,测试工程师,技术部,2013-12-03,,会员回复生产就是首页他们时候.
1356,江秀珍,男,15376623139,lyang@example.net,在职,前端工程师,技术部,2015-04-28,,
1357,刘桂兰,女,13337668214,guiyinghou@example.com,在职,出纳,财务部,2015-12-17,,国内程序有关操作.
1358,郑丽华,女,13303346713,shaoxia@example.org,在职,会计,财务部,2016-05-21,,
1359,周萍,女,15924169157,wei24@example.com,离职,人事经理,人事部,2016-10-19,2017-09-03,
1360,陶建华,男,14586265495,sdu@example.com,在职,市场经理,市场部,2019-05-26,,
1361,游娟,男,15220772564,leiyang@example.net,在职,会计,财务部,2014-08-26,,关系帮助制作没有进行作为.
1362,王俊,男,13714776143,haolei@example.org,在职,市场专员,市场部,2014-12-10,,
1363,梁金凤,男,13665884085,yan22@example.net,在职,财务主管,财务部,2017-06-03,,孩子销售今年产品过程.
1364,李军,女,13722268684,qxiong@example.com,离职,市场专员,市场部,2020-07-04,2020-08-11,
1365,王丽娟,女,13285109417,xieli@example.com,在职,销售经理,销售部,2020-01-12,,
1366,董东,女,15924148366,ljia@example.com,在职,架构师,技术部,2016-09-09,,
1367,刘健,男,15900809271,yanfeng@example.com,离职,HR专员,人事部,2016-10-30,2016-11-09,
